horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-08-19 18:15:00+00:00,0,15,503.1212728012685,647.790456839702,674.6121004758693,725.0702403332103,823.3367921581967,871.8625769788516,976.3353417307134,1020.529021917696,1075.5709360062542,1179.2323126453152,1257.8593822204725,1372.1277486315769,1472.4692287290948,1605.9429867984497,1714.5166205387693,1893.5390134153874,2126.7113513967047,2388.671387852506,3016.5983139399546,2293.602202855667,1258.0151499855883
2025-08-19 18:30:00+00:00,1,30,178.80826519958347,201.36919410282187,245.17408230871004,319.46160211021197,342.3029325822616,369.0402612559477,401.35173883261984,434.36440188837884,497.6184160634095,533.3846633654207,584.6588477547594,666.0691657875316,774.2710335058484,844.1145390237435,922.5161286560826,996.9808611079172,1116.262418672843,1253.9017923294284,1511.856653016766,1216.00950230816,587.214923083048
2025-08-19 18:45:00+00:00,2,45,67.1223085908892,76.58024864412448,92.38296890645888,102.51901378918656,120.9277738300137,135.9695648659867,149.86402092442964,160.09550138212708,170.62660137128694,200.51641716087155,223.44621126618765,238.818564055004,262.7070642458435,288.89320851825454,319.9876966956537,340.50439678472827,384.7952479319834,424.49472076228653,471.7545729951828,379.0130399515989,213.3818267468657
2025-08-19 19:00:00+00:00,3,60,3.1416923623581736,5.172432059732288,6.074597220878299,7.310619639089739,8.366050897312554,9.082328164736282,10.436399198202244,11.51176470519599,12.81619465152269,14.033482029249969,15.402713873552466,16.473750721190434,19.21095268773793,21.491336177059768,25.997372652878628,28.07074320034596,30.604266423530238,35.70320457021482,43.279967087923175,39.32325893023569,16.778366150271435
2025-08-19 19:15:00+00:00,4,75,,,,,,,,,,,,,,,,,,,,,
2025-08-19 19:30:00+00:00,5,90,,,,,,,,,,,,,,,,,,,,,
2025-08-19 19:45:00+00:00,6,105,,,,,,,,,,,,,,,,,,,,,
2025-08-19 20:00:00+00:00,7,120,,,,,,,,,,,,,,,,,,,,,
2025-08-19 20:15:00+00:00,8,135,,,,,,,,,,,,,,,,,,,,,
2025-08-19 20:30:00+00:00,9,150,,,,,,,,,,,,,,,,,,,,,
2025-08-19 20:45:00+00:00,10,165,,,,,,,,,,,,,,,,,,,,,
2025-08-19 21:00:00+00:00,11,180,,,,,,,,,,,,,,,,,,,,,
2025-08-19 21:15:00+00:00,12,195,,,,,,,,,,,,,,,,,,,,,
2025-08-19 21:30:00+00:00,13,210,,,,,,,,,,,,,,,,,,,,,
2025-08-19 21:45:00+00:00,14,225,,,,,,,,,,,,,,,,,,,,,
2025-08-19 22:00:00+00:00,15,240,,,,,,,,,,,,,,,,,,,,,
2025-08-19 22:15:00+00:00,16,255,,,,,,,,,,,,,,,,,,,,,
2025-08-19 22:30:00+00:00,17,270,,,,,,,,,,,,,,,,,,,,,
2025-08-19 22:45:00+00:00,18,285,,,,,,,,,,,,,,,,,,,,,
2025-08-19 23:00:00+00:00,19,300,,,,,,,,,,,,,,,,,,,,,
2025-08-19 23:15:00+00:00,20,315,,,,,,,,,,,,,,,,,,,,,
2025-08-19 23:30:00+00:00,21,330,,,,,,,,,,,,,,,,,,,,,
2025-08-19 23:45:00+00:00,22,345,,,,,,,,,,,,,,,,,,,,,
2025-08-20 00:00:00+00:00,23,360,,,,,,,,,,,,,,,,,,,,,
2025-08-20 00:15:00+00:00,24,375,,,,,,,,,,,,,,,,,,,,,
2025-08-20 00:30:00+00:00,25,390,,,,,,,,,,,,,,,,,,,,,
2025-08-20 00:45:00+00:00,26,405,,,,,,,,,,,,,,,,,,,,,
2025-08-20 01:00:00+00:00,27,420,,,,,,,,,,,,,,,,,,,,,
2025-08-20 01:15:00+00:00,28,435,,,,,,,,,,,,,,,,,,,,,
2025-08-20 01:30:00+00:00,29,450,,,,,,,,,,,,,,,,,,,,,
2025-08-20 01:45:00+00:00,30,465,,,,,,,,,,,,,,,,,,,,,
2025-08-20 02:00:00+00:00,31,480,,,,,,,,,,,,,,,,,,,,,
2025-08-20 02:15:00+00:00,32,495,,,,,,,,,,,,,,,,,,,,,
2025-08-20 02:30:00+00:00,33,510,,,,,,,,,,,,,,,,,,,,,
2025-08-20 02:45:00+00:00,34,525,,,,,,,,,,,,,,,,,,,,,
2025-08-20 03:00:00+00:00,35,540,,,,,,,,,,,,,,,,,,,,,
2025-08-20 03:15:00+00:00,36,555,,,,,,,,,,,,,,,,,,,,,
2025-08-20 03:30:00+00:00,37,570,,,,,,,,,,,,,,,,,,,,,
2025-08-20 03:45:00+00:00,38,585,,,,,,,,,,,,,,,,,,,,,
2025-08-20 04:00:00+00:00,39,600,,,,,,,,,,,,,,,,,,,,,
