horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-07-08 05:00:00+00:00,0,15,148.29124293557825,190.9059623661076,218.31251417953015,245.55013809247285,275.1285360386291,301.90983722095723,320.2060666741956,330.40296049314304,342.2113862810036,348.3268305202271,352.55898256835945,357.26383845586594,364.1648946149691,369.7914941582729,378.1918482964488,383.6235667639193,395.7680334722648,412.11243738922883,438.8136613469816,284.5808340564369,321.8314872019292
2025-07-08 05:15:00+00:00,1,30,349.2298825397785,474.217587471037,558.7960947515588,723.715155690641,816.5604003191717,989.5728376911975,1043.969060489594,1086.0495767583,1175.1516706112359,1208.2588874983066,1249.779917896285,1281.920435548745,1303.3629119262007,1323.3103274238338,1346.6409660199276,1384.1434929068955,1441.3491132550853,1508.3183509143753,1643.6949207650766,1025.416324412235,1044.9325195654753
2025-07-08 05:30:00+00:00,2,45,688.0397191662203,893.0799073162092,1086.4915569662573,1355.8147753413375,1479.1311736746577,1716.2017734036965,1937.8151909980786,2061.367098164242,2152.429230714808,2216.5028864472897,2275.2915969047776,2339.441011685687,2416.5619436113025,2456.2267616652393,2488.4529258270604,2529.678126897745,2561.8634967613752,2631.452233850635,2875.505764100893,1948.8329547880232,1922.6621940971047
2025-07-08 05:45:00+00:00,3,60,916.0966949160677,1454.8957672399797,1860.435796097817,2182.724085743613,2541.8959241501407,2701.7319332147176,2996.0891717495606,3241.6528569379184,3349.6142455707545,3411.6741393042225,3479.9680516602143,3623.7967406248235,3683.8207540277785,3717.997601275651,3775.8828861246893,3835.627096502486,3896.658874243249,4014.5506611050705,4241.031965086054,3117.0042467810163,3012.831175479525
2025-07-08 06:00:00+00:00,4,75,1291.5170375204584,2542.8478634137314,3015.3873484171977,3478.4561714880733,3986.2934517086005,4321.125950189739,4470.606573138778,4574.769029656981,4648.839104060701,4725.211700256316,4806.03009470717,4960.843419484646,5068.156424385992,5126.570426243688,5182.924178911934,5236.605791394909,5300.913438030515,5429.350286645449,5560.899674989669,4394.042309211774,4270.33290776826
2025-07-08 06:15:00+00:00,5,90,3137.7784231538203,3952.4961683939346,4834.880577965677,5348.977975206137,5594.852764318017,5760.140229497538,5873.436126130893,5970.7969311694105,6035.131429992738,6133.923367871692,6272.17701096227,6427.433222015707,6507.628820315822,6571.250891935259,6624.105663494933,6681.0828351167565,6744.170096320198,6882.422738491906,6998.14214662973,5755.484504038629,5712.306776115073
2025-07-08 06:30:00+00:00,6,105,3331.679210349357,4966.620146615564,6195.581184633171,6675.213953129526,7027.239832501825,7205.598731195651,7336.940912562881,7418.019342144059,7505.3910148674495,7596.4236330307485,7723.48228308983,7875.976518304523,7976.0242077948205,8052.195795244788,8106.370068015678,8160.170166287922,8241.351191099933,8367.674194293935,8517.288549146619,7133.523750077917,7109.843625368079
2025-07-08 06:45:00+00:00,7,120,4441.992904801141,6196.206763003449,7295.736717800026,7992.1773524125065,8513.08066575384,8671.728009564815,8802.472113053534,8884.804417491481,8965.77880009641,9044.202639504443,9178.762012193998,9318.004110497492,9428.900988713614,9525.115820200283,9577.337661770913,9629.124287899394,9704.320036767172,9759.855109892529,9932.667167843867,8546.09225806389,8495.972251154973
2025-07-08 07:00:00+00:00,8,135,5416.570202265511,7900.403252779473,8928.189171774999,9323.174032811807,9914.475140799188,10128.305807770472,10250.117571024364,10314.38035966898,10378.090148533354,10449.938956687914,10526.73134121642,10667.524084838766,10788.393802537452,10890.872740907816,10935.879103483021,10996.909678696866,11055.056313523064,11165.278913774222,11334.402451854141,9901.054701815634,9943.605963339642
2025-07-08 07:15:00+00:00,9,150,5878.615993145818,8356.92652295772,10092.27146773098,10751.905445193737,11176.645994873159,11437.904570539737,11503.361681175942,11568.1736014348,11639.165459431211,11712.55171083465,11795.95083402121,11887.703477306986,12033.84160452375,12119.694341201957,12192.755497400562,12259.2471054713,12348.961682451205,12479.14768525795,12651.979078245382,11199.212102635596,11105.3239745713
2025-07-08 07:30:00+00:00,10,165,6805.546724036042,9349.887192779985,11556.925422811644,12193.79823247118,12565.819028354917,12671.060578769224,12754.607898593653,12818.490791378912,12874.573702680162,12930.076283305956,13005.04937359484,13084.187640341848,13192.49064836101,13346.052229143352,13425.121676306984,13500.81477003461,13568.694722681217,13701.771667072071,13867.227670553282,12455.589866345512,12371.783744882689
