horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-09-09 16:15:00+00:00,0,15,1940.1599583989978,2327.815369143179,3181.450845881609,3641.6310973114846,4026.6610331669303,4519.061582886208,5147.542328514564,5638.825256019434,6095.835452272506,6719.103005066357,6949.4955473829195,7317.683653898509,7613.954282807667,8433.782316513467,8949.517614052567,9573.749658084118,10907.653443926378,11396.63641998187,12746.778820626849,10172.24137316165,6624.099583827919
2025-09-09 16:30:00+00:00,1,30,1136.849191574127,1468.922008730639,1739.3156143271162,2070.9075812778606,2351.3284305807138,2789.0257210652476,3038.182739492192,3419.0427336545404,3634.8426864309404,3907.0473104529547,4495.942942708987,4776.8562739110475,5168.897124923265,5739.0255335823695,6328.828573514455,6833.117868140686,7662.209399785799,8647.738538407935,9852.035670062818,8798.44436875198,4309.874919674171
2025-09-09 16:45:00+00:00,2,45,1305.655632933159,1670.7956614635264,1921.6373228610587,2606.4491032938968,2841.439580634736,3055.503632026533,3446.099465509139,4092.7674571402663,4417.236456172792,4945.179236735367,5214.109307484046,5446.6135786399345,5828.987585101808,5993.413591632388,6574.315249536521,6955.766240948999,7473.9047200321365,7823.040325167075,8546.894464174906,7377.722448754423,4420.377079799484
2025-09-09 17:00:00+00:00,3,60,790.1023426180278,979.1856768356112,1160.3378823637324,1359.7237982449838,1511.2072848971789,1753.370076513036,2024.8013507280402,2216.302089237276,2294.2438536139525,2489.3185158507185,2839.421888778958,3278.767893465438,3569.8723468938247,3951.713179262831,4455.416629474502,4859.142038491034,5783.293305798558,6294.267350937661,7122.061212195339,5963.054672339144,2807.072336361781
2025-09-09 17:15:00+00:00,4,75,363.5957540617091,571.0225548435538,690.3425161446971,761.4021043380677,856.9236059572258,942.6793477073512,992.5719719168937,1086.5241946742424,1217.0634753399836,1351.8507239460455,1409.9302019406869,1604.1991057812265,1717.8009160836666,1895.9486160021163,2181.131873425488,2599.61930467283,3267.5842630994375,4270.055126075482,5186.13165107574,4545.481207327827,1595.6114159437157
2025-09-09 17:30:00+00:00,5,90,378.02757669550977,466.24997672811105,543.6319889750575,591.1609969634841,657.2506902217671,724.8791578241903,797.3035493315466,867.6648514653157,996.7848347338455,1130.9611327983641,1257.490505039709,1338.3606008726315,1484.8609320091625,1603.6295406975096,1858.9468296055616,2153.246488963061,2630.985398228628,3111.624275789032,4102.562285571877,3175.7366709657563,1282.69969968944
2025-09-09 17:45:00+00:00,6,105,288.7465255936093,340.1866352240549,379.89737880903203,412.7771019672433,436.1441629500494,478.8862062706627,568.3197516298902,627.0380218270767,734.3147373574133,803.7799946904485,860.3424420203595,996.4921051952683,1146.018463938669,1208.9797912921968,1478.6745132963729,1678.0672149153609,1953.80442777324,2171.8910943291803,2470.036139564906,1913.0501617083908,896.9290002787615
2025-09-09 18:00:00+00:00,7,120,102.77929866760078,159.61184853729975,173.30119020364586,191.3867990279323,205.24489244891345,225.39865138779575,247.3218087155282,287.3529284713794,320.136721272638,346.4478964151095,397.20591534707467,432.9628715897199,484.32364961211226,537.1512218829839,605.2833232109535,678.6101401452798,823.4218210741411,1006.2007820589445,1178.6313039283473,910.50760650982,399.2265276536515
2025-09-09 18:15:00+00:00,8,135,23.6508947962566,36.25048453666992,44.22479003375331,49.276278269275316,53.06164385201159,58.33894764055657,64.17891580601803,76.570291126107,84.17839492672111,95.03935815765126,102.9690916149833,120.3684590630643,131.06929491550798,137.83959578820037,150.07656035001443,163.96858568952882,195.11725802967229,207.92781269308958,238.71798003488726,190.1805946051313,106.26919340985272
2025-09-09 18:30:00+00:00,9,150,,,,,,,,,,,,,,,,,,,,,
