horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-09-22 06:45:00+00:00,0,15,133.985442712628,175.9193996950473,199.2314144590036,222.0377982085704,246.16506984694226,275.285187032742,300.0014985789123,321.5346161425339,336.2807489483173,355.4000660680912,368.10429834984666,383.8559436212003,399.1406757845973,412.29134846168853,435.059041938402,463.3360635678912,508.6248014190207,533.5843084865008,659.5785853323621,1982.5984501297096,372.7682423080129
2025-09-22 07:00:00+00:00,1,30,220.8700460167711,276.24934268891826,327.44389992721403,371.83160017699856,427.9668978662228,462.779015360459,531.0193399224206,570.3040237877833,605.8593251747708,641.8253007089229,678.7692494122495,717.6969311313238,758.1680377142054,802.7307901913773,877.2608713626804,932.3809653710315,1018.1531279941207,1204.269467043932,1951.6385728419743,3279.633909980083,690.7441886295513
2025-09-22 07:15:00+00:00,2,45,313.33899359015817,409.74085154830243,495.3379906261233,587.52225587686,666.9507139995586,739.6023192889455,801.5043215609505,848.2916134203675,900.4489645936326,967.5931944966467,1050.9680198750082,1162.2351183879327,1249.885333366694,1357.1589342586776,1564.2179877380645,1656.3234412695658,1981.7314520824593,2653.0229646754,3648.6697388309267,4668.874862669097,1125.9666500267224
2025-09-22 07:30:00+00:00,3,60,462.30637817292643,631.3202446937264,768.1927568705827,863.973582031985,985.8899414373383,1073.8507488114017,1152.2234778284928,1221.1476104311005,1287.186300080508,1383.15060412101,1566.8841167422277,1734.2037114930097,1988.826928997337,2213.629697978162,2580.778665281736,3424.356860502321,3881.620311725469,4666.619696878021,5527.891651718249,6111.045351737508,1734.1680176106643
2025-09-22 07:45:00+00:00,4,75,610.8403825017809,765.1700766373555,958.3070035577723,1096.8004041915228,1267.9494065871127,1364.1411257842128,1433.2050443301825,1542.2490391591562,1673.442371623729,1957.0783799879234,2190.508524385617,2499.7246522452333,2894.1240278378928,3357.939838684382,3907.809145827243,4402.703080976914,4808.66660641571,5991.6757082650465,7103.347295584537,7544.359568536674,2443.114263692549
2025-09-22 08:00:00+00:00,5,90,670.5354744235564,881.4376065636508,1014.1427210572891,1270.369072153129,1452.1449813341203,1587.5736270312361,1701.0768971007226,1961.485424355771,2167.7064917403277,2413.9617027875493,2891.3923362406713,3211.135613449258,3660.688512665101,4428.235625763112,4953.820379519498,5479.537160860071,6366.306118823882,7068.356874965152,8652.33801935418,8988.194749476157,3004.4549974047636
2025-09-22 08:15:00+00:00,6,105,755.5524911524922,1016.9101402387056,1267.1916099940352,1509.7600054937482,1649.911328974976,1782.318780064947,1921.550650317096,2249.567381982868,2445.520915973099,2688.228080379515,3247.0327241687223,3646.3583883172687,4424.281748133722,5183.472616358459,6026.412118683346,6677.343855365022,7343.169164307411,8495.152578337884,9803.088720264916,10353.499142126946,3475.3060494463325
2025-09-22 08:30:00+00:00,7,120,840.6567049072861,1133.8411800348185,1376.141019115917,1602.3027038873306,1810.411001045955,1936.7045806296815,2117.1653208684424,2484.0093540250364,2727.5386490859473,3089.996129837051,3812.6062263008766,4365.056230204424,5524.761519238884,6225.706136356133,6716.878470890419,7443.740894494198,7938.335634582534,8721.603566308313,11155.398848220015,11659.56002800686,3889.256264781591
2025-09-22 08:45:00+00:00,8,135,797.4887404155215,1211.8706049981374,1478.4275393441496,1719.3728433446124,1924.752091085497,2149.745881556343,2513.7755872483826,2791.9522258612046,3562.6593545989067,4027.6458179057613,4497.251833169288,5805.762425532053,6253.191692683955,7011.891763338605,7365.509435432495,8193.162543914872,8968.06883687424,10584.884576191465,12407.794835147339,12583.490334622105,4398.8083485193465
2025-09-22 09:00:00+00:00,9,150,962.395246648854,1449.9707228632556,1716.5165049646043,2007.6464112767342,2254.110183556928,2620.3753606044365,2897.929860862817,3178.6906861805346,4078.634472434966,4384.057855036728,4759.765508026826,5413.946355403627,6436.949844080825,7047.616014683493,7927.870452647206,8602.09661365233,9415.679774321552,10866.482227637904,12466.809573404433,12596.61875948508,4753.7224730023345
2025-09-22 09:15:00+00:00,10,165,1152.5664234269525,1631.2893034978422,1971.1210198038625,2252.217542358782,2599.778122390251,2942.16405966469,3193.11539156161,3497.03649840432,4242.436921866966,4916.525087550698,5467.76879706941,6423.925045666438,6974.191539839705,7937.303068057645,8709.395939357175,9204.585255335724,10020.673572350903,11151.623685328079,12409.328269879821,12546.401358540383,5242.074425672034
2025-09-22 09:30:00+00:00,11,180,1548.738040799898,1857.3199486958515,2178.879130803981,2563.1113671179737,2886.8083493228505,3341.5027145672375,3609.6030184405304,4162.380869608992,4413.680433445232,5205.00216065963,5702.464982097208,6617.81362985442,7109.35381644998,8205.834088742422,8867.385502026194,9632.311267877301,10147.207099300122,11231.867091942464,12413.051737973141,12404.909525490617,5560.6146986660515
2025-09-22 09:45:00+00:00,12,195,1682.389169534975,2060.9279738832456,2536.9348956627214,2806.3562006069983,3112.333100323675,3438.3007098444955,3752.636071363422,4309.4757074357785,4731.676546951319,5554.764688408943,6424.434209889082,7010.040133448358,8020.749957868403,8871.548204989258,9646.232311527228,10198.680234391011,10837.77900679064,11987.598678222676,12767.677405930186,12308.651184937484,6224.787030154308
