horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-07-18 01:00:00+00:00,0,15,,,,,,,,,,,,,,,,,,,,,
2025-07-18 01:15:00+00:00,1,30,,,,,,,,,,,,,,,,,,,,,
2025-07-18 01:30:00+00:00,2,45,,,,,,,,,,,,,,,,,,,,,
2025-07-18 01:45:00+00:00,3,60,,,,,,,,,,,,,,,,,,,,,
2025-07-18 02:00:00+00:00,4,75,,,,,,,,,,,,,,,,,,,,,
2025-07-18 02:15:00+00:00,5,90,,,,,,,,,,,,,,,,,,,,,
2025-07-18 02:30:00+00:00,6,105,,,,,,,,,,,,,,,,,,,,,
2025-07-18 02:45:00+00:00,7,120,,,,,,,,,,,,,,,,,,,,,
2025-07-18 03:00:00+00:00,8,135,,,,,,,,,,,,,,,,,,,,,
2025-07-18 03:15:00+00:00,9,150,,,,,,,,,,,,,,,,,,,,,
2025-07-18 03:30:00+00:00,10,165,,,,,,,,,,,,,,,,,,,,,
2025-07-18 03:45:00+00:00,11,180,,,,,,,,,,,,,,,,,,,,,
2025-07-18 04:00:00+00:00,12,195,,,,,,,,,,,,,,,,,,,,,
2025-07-18 04:15:00+00:00,13,210,,,,,,,,,,,,,,,,,,,,,
2025-07-18 04:30:00+00:00,14,225,,,,,,,,,,,,,,,,,,,,,
2025-07-18 04:45:00+00:00,15,240,,,,,,,,,,,,,,,,,,,,,
2025-07-18 05:00:00+00:00,16,255,4.180280887608652,8.470109501231207,12.55226889745548,17.4650112981398,20.94597347200932,24.15166572624808,27.162656831228606,30.907563852703827,33.83122283832839,36.8348068664078,41.60821414753445,46.41212493027704,50.25448977479297,56.19770646625403,65.65901693744296,77.44976574863476,93.53599058048796,105.32132486761734,114.1774322063417,119.22097918666498,45.069049593256786
2025-07-18 05:15:00+00:00,17,270,23.154684197315678,44.49528717451672,60.94179758834933,78.83072460157844,93.87489690023327,108.42884092154313,130.30422080123466,144.74348927373146,156.9558447198592,179.09743667221576,196.7840929932943,215.37805073670998,237.42372762930734,279.5181233394166,331.5531838536927,406.1287096907706,489.21037367807924,538.1960388596206,636.9469205305159,624.4712953903546,208.75219925542672
2025-07-18 05:30:00+00:00,18,285,58.289650388189,103.60990658279994,140.26555624379372,180.9121111140029,224.9644675576469,272.976881521159,317.5679385948747,362.1752797685557,413.81014634477896,462.67469172349274,507.75247557080536,590.1436247788807,684.8957587125528,806.9145024348409,947.1098127899185,1048.2414076968287,1206.5212813677201,1323.0966312778814,1536.5670435159495,1478.1531116849549,506.847667868092
2025-07-18 05:45:00+00:00,19,300,163.96858988059122,215.97218652679976,308.77999021784785,406.7760902767686,498.37692807158413,583.6803932468268,668.3114794388591,743.6659867267408,816.353833073023,927.8453985761487,1095.6159646822193,1292.4547947401597,1371.27957528455,1583.636087233765,1706.111818366178,1908.3721579812695,2115.7948053107084,2259.3325912984337,2627.1633762959555,2574.931528919083,1003.2183299368018
2025-07-18 06:00:00+00:00,20,315,297.6015205055196,505.1768999259931,626.612172706877,772.4930258316623,925.343051647067,1058.5271428999222,1162.0916058458245,1324.3625169295947,1521.4814631181396,1809.7225928556304,1942.9650342828204,2115.1315163273616,2335.8908834016493,2472.9907473850008,2667.928682525443,2940.7905949775723,3105.223681053631,3235.4470308197087,3712.798601562092,3819.2814885696775,1655.556678436919
2025-07-18 06:15:00+00:00,21,330,504.83339686066716,734.4674204701766,871.6215328747528,1094.2580476519627,1268.334010969138,1465.1590524063881,1678.7054536805647,1871.2769192870037,2047.75180696497,2450.5439790180244,2816.6050453277307,2955.7054674834662,3246.3118821668404,3371.3609487921394,3665.855394509354,3930.141759112828,4328.024023925134,4584.426507509682,4963.746079666293,5170.86698550632,2307.0518585249456
2025-07-18 06:30:00+00:00,22,345,646.8772233789056,940.3774971539596,1134.6283164808438,1287.8196437784538,1560.0477240933476,1812.463689636328,2211.491602986398,2514.461229663209,2741.0159370394267,3153.579436655284,3662.1338807910456,3907.4025475160415,4445.134810014548,4627.502086419279,4984.063587819807,5251.940284411628,5818.004906553922,6025.143478012374,6553.303481428506,6573.811248430039,3023.947321225351
2025-07-18 06:45:00+00:00,23,360,995.4268762536125,1272.527934566508,1463.537148663028,1615.2092575570236,1929.805676105592,2253.780831948414,2794.65367043454,3258.6083137426313,3715.8178709285257,4470.121553383284,4772.261928096487,4972.620246587113,5596.821189578766,5819.70602760687,6148.315921883553,6706.975346307563,7161.995473276423,7606.609510849248,8118.87449989437,8008.627262479465,4021.5359926725155
2025-07-18 07:00:00+00:00,24,375,1402.9662727174727,1645.6147610104074,1850.6906704609303,2188.835398733432,2411.0329883660493,3156.205151627855,3600.261235056429,4197.540168199692,4867.798528383492,5577.613916228995,5836.689919255778,6290.5547461218475,6746.664381657562,7034.782284359462,7573.9306483747905,8162.820567294648,8661.996839027406,9188.748302517359,9753.389790235404,9404.635026382122,4955.600435597088
2025-07-18 07:15:00+00:00,25,390,1588.8550689125675,1917.0158422660002,2285.915849701988,2688.635454335384,3643.1464746694887,4189.17242336383,5179.192766014725,5616.594102040483,6293.078433468663,6931.56230946701,7331.770273102195,7823.165503119389,8271.766409436495,8856.793102427588,9404.125040298164,9822.505161843581,10285.59174659132,10664.922705976107,11114.830870998581,10748.899548650106,6141.270576705351
2025-07-18 07:30:00+00:00,26,405,1816.654513760525,2194.141831523163,2659.761503299931,3558.2081918747,4403.984650867039,5235.101087922807,6088.068950636463,7053.292122990396,7809.8331367638475,8387.650757702004,8846.16130403617,9628.636088474565,9985.90669040158,10484.925772323913,10864.487881522395,11422.330928428535,11640.33955087644,11937.47288186418,12382.739746227619,12020.118087296574,7190.608666484088
2025-07-18 07:45:00+00:00,27,420,1996.5032372747194,2416.0390432338822,3057.3500331543273,4004.2220543186813,4923.618674118653,6194.975175675978,6845.6846268814625,7857.4494058869805,8760.434695850285,9381.405339740686,9916.7348937095,10813.369665095273,11295.91792288068,11785.745162107585,12344.76510424827,12742.901770773246,12944.157481985476,13227.07506229614,13701.223638166151,13304.236229055825,8406.827679089398
2025-07-18 08:00:00+00:00,28,435,2062.536551358817,2502.327990619015,2956.6251165339495,4113.8676853776815,5160.873199306205,6521.230873573351,7244.279779712678,8755.611771397274,9349.67909689417,10139.929848568732,10900.879133700942,11648.205746727164,12198.258947215729,12730.765631003791,13189.29367819939,13452.176395781784,13679.009244229972,13929.779474518673,13998.000000000002,13986.80118374658,8958.88721490259
2025-07-18 08:15:00+00:00,29,450,2273.334242921871,2774.553485636874,3617.6344984446487,5093.351985883412,5809.6629005655805,7112.575003615376,8178.705610385704,9362.118426916604,10148.422151531846,10967.682917245913,11536.871338547993,12100.276650141215,12666.219007465963,13074.195645864529,13446.325314073798,13594.5404054363,13818.1695221251,13998.000000000002,13998.000000000002,13998.000000000002,9498.713296215403
