horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-08-15 10:15:00+00:00,66,1005,6768.864136843886,10078.3241944049,11460.115121525589,12305.317660512146,12480.147027651794,12600.330787782279,12622.603296391344,12675.787015659658,12728.508374565858,12772.096883746075,12808.111724470928,12843.91476957578,12879.50883708967,12919.471292939965,12985.302743220504,13050.435467150657,13167.15832766995,13320.688446529957,13481.486179179245,13166.360412842781,12357.80659137193
2025-08-15 10:30:00+00:00,67,1020,7802.151687907722,10275.23529134546,11537.168286258418,12237.894398729753,12343.021958505851,12471.79139091396,12538.395788149855,12595.904933149437,12649.267273325044,12683.481774906935,12717.527188925595,12751.405954544312,12785.120449548078,12835.560377783497,12893.93305954757,12958.733639296643,13078.915865051895,13229.917122551375,13421.373380284436,13015.124874800087,12336.832740593387
2025-08-15 10:45:00+00:00,68,1035,7589.07391339906,10245.484291062956,11761.102280257921,12173.269035576875,12269.303090681953,12401.351122807395,12465.618336197589,12529.362235735665,12562.47694483198,12592.622811267393,12622.656188089712,12652.578622997926,12682.391603021615,12728.286103358243,12774.793385460816,12821.041859222767,12924.788403767352,13108.60522599319,13296.458171433997,12871.911903132768,12197.885065089386
2025-08-15 11:00:00+00:00,69,1050,7668.873705068174,10185.72363427668,11475.119002156232,12007.781058982153,12152.996935031544,12264.12598358855,12341.831951171544,12382.009960078502,12412.271090437811,12442.434676210565,12472.50217625721,12502.875008914394,12539.1811367084,12575.351717837513,12611.388894872009,12658.480594860759,12758.837757966096,12906.444825007198,13150.736216123903,12741.5806370794,12040.356790849957
2025-08-15 11:15:00+00:00,70,1065,7746.7118351537,10015.453023425764,10935.05755543095,11782.59486912019,11952.639533418907,12125.22560687595,12200.607682686548,12264.380749516493,12307.615063988433,12337.72388677172,12367.752379080694,12397.701701655276,12427.572961994276,12469.700094910222,12515.008980888248,12560.144375823733,12652.219776747967,12813.424810552944,13029.149551624118,12622.551085722924,11915.2374223176
2025-08-15 11:30:00+00:00,71,1080,8166.918435582493,10439.30693163845,11134.86033412271,11731.992705939843,11880.586950048943,12025.9173114652,12081.563691807905,12136.966805581771,12179.963317321293,12212.387135516654,12244.731383888871,12276.997186594375,12310.479771563267,12354.536851707226,12398.45251811215,12442.228889645157,12568.227499029661,12775.063207463068,12945.138122015946,12519.327254186188,11864.627340134517
2025-08-15 11:45:00+00:00,72,1095,11043.401213108098,11634.378631857797,11950.24979075139,12140.385223991716,12217.307622590724,12269.99514313803,12302.710105718677,12327.767955667507,12352.785534278128,12377.763043322942,12402.958735936822,12430.212274192723,12457.41834164163,12484.577049668593,12511.688461610916,12552.245914363006,12594.271345574138,12663.00691436962,12963.113959801392,12432.177085839041,12221.449144351625
2025-08-15 12:00:00+00:00,73,1110,10981.196713931362,11513.620297283092,11840.218607551209,11979.773559407846,12136.782611971223,12183.279412833386,12229.645058163675,12265.379088220649,12294.32396136327,12323.217733883952,12352.060494768644,12380.337957110909,12408.250702540041,12436.11548971541,12463.93233182111,12502.22186229853,12550.48540043665,12625.527729310013,12953.153255974632,12385.028243223871,12157.20984603596
2025-08-15 12:15:00+00:00,74,1125,11725.987351255757,12162.736958443387,12237.612671897881,12320.58830881206,12347.732256216554,12371.575286850491,12395.383361276567,12419.156491560643,12437.016838975886,12449.853704079771,12462.680335818386,12475.49673286696,12488.302893263919,12501.098814390909,12513.884492952677,12526.659924956524,12546.55530605322,12577.044868220779,12607.475584205911,12396.992650440701,12353.828286127557
2025-08-15 12:30:00+00:00,75,1140,12018.53235572425,12171.925121417093,12204.085229562565,12216.483862855388,12228.872582038985,12241.251418639918,12253.620403407454,12265.979566273809,12278.328936313657,12290.66854170311,12302.358169318793,12313.238687895087,12324.111649991903,12334.97707241662,12345.834971307433,12356.685362109338,12367.528259549872,12378.363677614561,12389.191629522,12456.246619102376,12266.098730961347
2025-08-15 12:45:00+00:00,76,1155,11802.994725855935,11899.036767153586,12042.796517671053,12076.197765553368,12109.51230513261,12129.43731000693,12144.584377745221,12159.713921463186,12174.82605533934,12189.92089257511,12204.998545257407,12220.059124218265,12233.28879220931,12246.30094432961,12259.300521645993,12272.287592270908,12285.262223226855,12298.224480370058,12311.1744283129,12567.467521894734,12154.731686499495
2025-08-15 13:00:00+00:00,77,1170,11989.68962940084,12138.550128182602,12232.522100361704,12262.101979410834,12291.603519240147,12321.02784953102,12340.883023878368,12359.800783119255,12378.687431726115,12397.543249100738,12416.36850770623,12432.73890997274,12445.134760767181,12457.51757449313,12469.887421390968,12482.244369809081,12494.588486108223,12506.919834564535,12519.238477270965,12676.260748945268,12352.584283046008
2025-08-15 13:15:00+00:00,78,1185,11994.425130981539,12096.224708649312,12197.597998409055,12227.604289066285,12257.51183633515,12287.322037480744,12310.030221806463,12327.437791418808,12344.8129624173,12362.156014265302,12379.467224551147,12396.746868552642,12412.428423840054,12426.429359324397,12440.409919733815,12454.37024640292,12468.310478736552,12482.23075403433,12496.131207311926,12774.489382136879,12311.524193111887
